space_id,space,type_id,type,category_id,category
66,PRIVATE HALLWAY,1,EMERGENCY,9,PLUMBING
78,FRONT AREAWAY,3,NON EMERGENCY,59,HEAT/HOT WATER
85,PUBLIC HALL,4,IMMEDIATE EMERGENCY,65,WATER LEAK
86,PUBLIC HALL STAIRS,,,58,FLOORING/STAIRS
158,ROOM,,,28,PAINT/PLASTER
192,ENTRANCE,,,56,DOOR/WINDOW
538,ALL PUBLIC AREAS,,,63,UNSANITARY CONDITION
541,BATHROOM,,,10,ELECTRIC
542,BEDROOM,,,11,GENERAL
543,ENTIRE APARTMENT,,,8,APPLIANCE
544,ENTIRE BUILDING,,,62,SAFETY
545,ENTRANCE/FOYER,,,13,NONCONST
546,KITCHEN,,,61,OUTSIDE BUILDING
547,LIVING ROOM,,,12,HEATING
548,OTHER ROOM/AREA,,,57,ELEVATOR
549,PRIVATE HALL,,,,
550,BUILDING-WIDE,,,,
552,BALCONY/TERRACE,,,,
553,BASEMENT,,,,
555,BOILER ROOM,,,,
556,BUILDING ENTRANCE,,,,
557,CELLAR,,,,
558,COMPACTOR CLOSET,,,,
560,COURTYARD,,,,
561,ELEVATOR,,,,
562,FIRE ESCAPE/EGRESS,,,,
563,FIRE EXIT/PASSAGEWAY,,,,
564,FIRE STAIRS/TOWER,,,,
565,GARAGE,,,,
566,HALLWAY,,,,
568,LAUNDRY ROOM,,,,
569,LOBBY,,,,
570,METER ROOM,,,,
571,OTHER ROOM/AREA,,,,
572,OUTSIDE,,,,
573,ROOF,,,,
574,STAIRS,,,,
575,STOOP,,,,
576,STORAGE ROOM,,,,
577,YARD,,,,
